"genus","apiary.prob.pos","hand.greater.than.pan.prob.pos","hand.greater.than.vane.prob.pos","devel.prob.pos"
"Lasioglossum",0.081,0,0.00144444444444444,0.0186666666666667
"Megachile",0.834888888888889,0.829,0.849888888888889,0.495
"Halictus",0.573111111111111,0,0.896555555555556,0.745
"Ceratina",0.495111111111111,0,0.000666666666666667,0.374777777777778
"Melitoma",0.135,0.0222222222222222,0.00111111111111111,0.149333333333333
"Bombus",0.827777777777778,1,0.000111111111111111,0.568333333333333
"Perdita",0.177777777777778,0.692333333333333,0.735777777777778,0.156666666666667
"Coelioxys",0.525111111111111,0.899444444444444,0.799444444444444,0.325666666666667
"Hoplitis",0.265333333333333,0.0608888888888889,0.682444444444444,0.410666666666667
"Osmia",0.707777777777778,0.188222222222222,0.664111111111111,0.711666666666667
"Augochlorella",0.504333333333333,0,0.0231111111111111,0.128
"Nomada",0.599,0.731444444444444,0.790666666666667,0.549
"Augochlora",0.139,0.0363333333333333,0,0.0945555555555556
"Agapostemon",0.082,0,0.00255555555555556,0.731111111111111
"Melissodes",0.0832222222222222,0,0,0.00333333333333333
"Andrena",0.250888888888889,0.985555555555556,0.629111111111111,0.650555555555556
"Augochloropsis",0.263777777777778,0.123777777777778,0.121555555555556,0.102555555555556
"Colletes",0.195333333333333,0.988222222222222,0.857,0.296555555555556
"Florilegus",0.139777777777778,0.0773333333333333,0,0.0628888888888889
"Heriades",0.286666666666667,0.24,0.687444444444444,0.439111111111111
"Ptilothrix",0.968666666666667,0.000555555555555556,0,0.969111111111111
"Triepeolus",0.139333333333333,0.278222222222222,0.751444444444444,0.136666666666667
"Hylaeus",0.786888888888889,0.00622222222222222,0.0124444444444444,0.986111111111111
"Dieunomia",0.380333333333333,0.781444444444444,0.765333333333333,0.306444444444444
"Xylocopa",0.428666666666667,0.995222222222222,0.112,0.314777777777778
"Svastra",0.0808888888888889,0.891666666666667,0.103333333333333,0.0602222222222222
"Eucera",0.174222222222222,0.158222222222222,0.00444444444444444,0.185
"Anthidiellum",0.517888888888889,0.874888888888889,0.671,0.79
"Calliopsis",0.374555555555556,0,0.605222222222222,0.597
"Panurginus",0.340222222222222,0.865555555555556,0.597444444444444,0.607666666666667
"Anthophora",0.650555555555556,0.900222222222222,0.0635555555555556,0.520111111111111
"Peponapis",0.403888888888889,0,0.000222222222222222,0.430555555555556
"Anthidium",0.997111111111111,0.418222222222222,0.596777777777778,0.999555555555556
